,Owner,Session ID,Mouse ID,Date,Phase,Laser Stim Prob,Left Reward Prob,Right Reward Prob,Block Range Min,Block Range Max,No. Trials,No. Blocks,No. Rewards,p(high Port),Decision Window Duration,Min Inter-trial-interval,Left Solenoid Duration,Right Solenoid Duration
913,mike,06142017_SOM45,SOM45,2017-06-14 00:00:00,2,0.0,0.0,1.0,50,50,172,2,117,0.68,5,1.0,40,40
914,mike,06152017_PV29,PV29,2017-06-15 00:00:00,2,0.0,1.0,0.0,50,50,69,1,53,0.77,5,1.0,40,40
915,mike,06152017_PV30,PV30,2017-06-15 00:00:00,2,0.0,1.0,0.0,50,50,122,1,78,0.64,10,1.0,40,40
916,mike,06152017_SOM41,SOM41,2017-06-15 00:00:00,2,0.0,0.0,1.0,50,50,60,1,52,0.87,10,1.0,40,40
917,mike,06152017_SOM42,SOM42,2017-06-15 00:00:00,2,0.0,0.9,0.1,50,50,404,6,334,0.92,2,1.0,40,40
918,mike,06152017_SOM44,SOM44,2017-06-15 00:00:00,2,0.0,1.0,0.0,50,50,192,3,151,0.79,4,1.0,40,40
919,mike,06152017_SOM45,SOM45,2017-06-15 00:00:00,2,0.0,1.0,0.0,50,50,289,4,230,0.8,4,1.0,40,40
920,mike,06162017_PV29,PV29,2017-06-16 00:00:00,2,0.0,1.0,0.0,50,50,69,1,55,0.8,5,1.0,40,40
921,mike,06162017_PV30,PV30,2017-06-16 00:00:00,2,0.0,1.0,0.0,50,50,131,1,83,0.63,10,1.0,40,40
922,mike,06162017_SOM41,SOM41,2017-06-16 00:00:00,2,0.0,0.0,1.0,50,50,64,1,55,0.86,10,1.0,40,40
923,mike,06162017_SOM42,SOM42,2017-06-16 00:00:00,2,0.0,0.1,0.9,50,50,631,10,502,0.89,2,1.0,40,40
924,mike,06162017_SOM44,SOM44,2017-06-16 00:00:00,2,0.0,0.0,1.0,50,50,173,2,131,0.76,4,1.0,40,40
925,mike,06162017_SOM45,SOM45,2017-06-16 00:00:00,2,0.0,0.1,0.9,50,50,204,2,117,0.62,3,1.0,40,40
926,mike,06192017_PV29,PV29,2017-06-19 00:00:00,2,0.0,1.0,0.0,30,30,74,1,42,0.57,5,1.0,40,40
927,mike,06192017_PV30,PV30,2017-06-19 00:00:00,2,0.0,1.0,0.0,50,50,136,2,103,0.76,7,1.0,40,40
928,mike,06192017_SOM41,SOM41,2017-06-19 00:00:00,2,0.0,0.0,1.0,30,30,102,1,53,0.52,10,1.0,45,45
929,mike,06192017_SOM42,SOM42,2017-06-19 00:00:00,2,0.0,0.9,0.1,50,50,534,7,389,0.79,2,1.0,40,40
930,mike,06192017_SOM44,SOM44,2017-06-19 00:00:00,2,0.0,0.0,1.0,50,50,255,4,223,0.87,4,1.0,40,40
931,mike,06192017_SOM45,SOM45,2017-06-19 00:00:00,2,0.0,0.1,0.9,50,50,256,3,170,0.74,3,1.0,40,40
932,mike,06202017_PV29,PV29,2017-06-20 00:00:00,2,0.0,1.0,0.0,50,50,63,1,50,0.79,5,1.0,45,45
933,mike,06202017_PV30,PV30,2017-06-20 00:00:00,2,0.0,1.0,0.0,50,50,67,1,51,0.76,7,1.0,40,40
934,mike,06202017_SOM41,SOM41,2017-06-20 00:00:00,2,0.0,0.0,1.0,30,30,119,2,90,0.76,10,1.0,40,40
935,mike,06202017_SOM42,SOM42,2017-06-20 00:00:00,2,0.0,0.1,0.9,50,50,632,10,536,0.91,2,1.0,40,40
936,mike,06202017_SOM44,SOM44,2017-06-20 00:00:00,2,0.0,0.9,0.1,50,50,199,2,145,0.8,3,1.0,40,40
937,mike,06202017_SOM45,SOM45,2017-06-20 00:00:00,2,0.0,0.1,0.9,50,50,174,2,101,0.57,3,1.0,40,40
938,mike,06212017_PV29,PV29,2017-06-21 00:00:00,2,0.0,1.0,0.0,50,50,4,0,4,1.0,7,1.0,45,45
939,mike,06212017_PV30,PV30,2017-06-21 00:00:00,2,0.0,1.0,0.0,50,50,154,2,103,0.67,7,1.0,40,40
940,mike,06212017_SOM41,SOM41,2017-06-21 00:00:00,2,0.0,1.0,0.0,30,30,187,3,112,0.6,7,1.0,40,40
941,mike,06212017_SOM42,SOM42,2017-06-21 00:00:00,2,0.0,0.9,0.1,50,50,511,8,405,0.86,2,1.0,40,40
942,mike,06212017_SOM44,SOM44,2017-06-21 00:00:00,2,0.0,1.0,0.0,50,50,113,1,92,0.81,3,1.0,40,40
943,mike,06212017_SOM45,SOM45,2017-06-21 00:00:00,2,0.0,0.1,0.9,50,50,252,3,172,0.75,3,1.0,40,40
944,mike,06222017_PV29,PV29,2017-06-22 00:00:00,2,0.0,1.0,0.0,30,30,7,0,6,0.86,10,1.0,50,50
945,mike,06222017_PV30,PV30,2017-06-22 00:00:00,2,0.0,1.0,0.0,50,50,120,1,88,0.73,6,1.0,40,40
946,mike,06222017_SOM41,SOM41,2017-06-22 00:00:00,2,0.0,0.0,1.0,50,50,21,0,10,0.48,7,1.0,40,40
947,mike,06222017_SOM42,SOM42,2017-06-22 00:00:00,2,0.0,0.9,0.1,50,50,571,9,453,0.86,2,1.0,40,40
948,mike,06222017_SOM44,SOM44,2017-06-22 00:00:00,2,0.0,0.9,0.1,50,50,152,2,104,0.77,2,1.0,40,40
949,mike,06222017_SOM45,SOM45,2017-06-22 00:00:00,2,0.0,0.9,0.1,50,50,272,3,188,0.72,2,1.0,40,40
950,mike,06232017_PV30,PV30,2017-06-23 00:00:00,2,0.0,0.0,1.0,50,50,252,3,183,0.73,7,1.0,40,40
951,mike,06232017_SOM41,SOM41,2017-06-23 00:00:00,2,0.0,1.0,0.0,50,50,250,4,211,0.84,7,1.0,40,40
952,mike,06232017_SOM42,SOM42,2017-06-23 00:00:00,2,0.0,0.1,0.9,50,50,585,9,470,0.85,2,1.0,40,40
953,mike,06232017_SOM44,SOM44,2017-06-23 00:00:00,2,0.0,0.1,0.9,50,50,169,2,117,0.73,2,1.0,40,40
954,mike,06232017_SOM45,SOM45,2017-06-23 00:00:00,2,0.0,0.1,0.9,50,50,479,7,359,0.81,2,1.0,40,40
955,mike,06262017_PV30,PV30,2017-06-26 00:00:00,2,0.0,0.9,0.1,50,50,301,4,214,0.81,7,1.0,40,40
956,mike,06262017_SOM41,SOM41,2017-06-26 00:00:00,2,0.0,0.9,0.1,50,50,428,6,328,0.83,7,1.0,40,40
957,mike,06262017_SOM42,SOM42,2017-06-26 00:00:00,2,0.0,0.9,0.1,50,50,618,9,479,0.84,2,1.0,40,40
958,mike,06262017_SOM44,SOM44,2017-06-26 00:00:00,2,0.0,0.1,0.9,50,50,200,3,159,0.85,2,1.0,40,40
959,mike,06262017_SOM45,SOM45,2017-06-26 00:00:00,2,0.0,0.9,0.1,50,50,579,8,449,0.83,2,1.0,40,40
960,mike,06272017_PV30,PV30,2017-06-27 00:00:00,2,0.0,0.9,0.1,50,50,356,5,256,0.77,5,1.0,40,40
961,mike,06272017_SOM41,SOM41,2017-06-27 00:00:00,2,0.0,0.1,0.9,50,50,439,6,331,0.8,5,1.0,40,40
962,mike,06272017_SOM42,SOM42,2017-06-27 00:00:00,2,0.0,0.9,0.1,50,50,585,9,473,0.89,2,1.0,40,40
963,mike,06272017_SOM44,SOM44,2017-06-27 00:00:00,2,0.0,0.1,0.9,50,50,192,2,148,0.79,2,1.0,40,40
964,mike,06272017_SOM45,SOM45,2017-06-27 00:00:00,2,0.0,0.9,0.1,50,50,528,8,423,0.88,2,1.0,40,40
965,mike,06282017_PV30,PV30,2017-06-28 00:00:00,2,0.0,0.9,0.1,50,50,400,6,301,0.81,5,1.0,40,40
966,mike,06282017_SOM41,SOM41,2017-06-28 00:00:00,2,0.0,0.1,0.9,50,50,356,5,274,0.87,4,1.0,40,40
967,mike,06282017_SOM42,SOM42,2017-06-28 00:00:00,2,0.0,0.1,0.9,50,50,545,8,431,0.88,2,1.0,40,40
968,mike,06282017_SOM44,SOM44,2017-06-28 00:00:00,2,0.0,0.1,0.9,50,50,253,3,184,0.79,2,1.0,40,40
969,mike,06282017_SOM45,SOM45,2017-06-28 00:00:00,2,0.0,0.1,0.9,50,50,532,8,422,0.85,2,1.0,40,40
970,mike,06292017_PV30,PV30,2017-06-29 00:00:00,2,0.0,0.9,0.1,50,50,388,5,299,0.85,25,1.0,40,40
971,mike,06292017_SOM41,SOM41,2017-06-29 00:00:00,2,0.0,0.9,0.1,50,50,432,6,337,0.84,4,1.0,40,40
972,mike,06292017_SOM42,SOM42,2017-06-29 00:00:00,2,0.0,0.9,0.1,50,50,644,10,504,0.86,2,1.0,40,40
973,mike,06292017_SOM44,SOM44,2017-06-29 00:00:00,2,0.0,0.1,0.9,50,50,175,2,120,0.75,2,1.0,40,40
974,mike,06292017_SOM45,SOM45,2017-06-29 00:00:00,2,0.0,0.1,0.9,50,50,587,9,456,0.81,2,1.0,40,40
975,mike,06302017_PV30,PV30,2017-06-30 00:00:00,2,0.0,0.9,0.1,50,50,421,6,320,0.78,5,1.0,40,40
976,mike,06302017_SOM41,SOM41,2017-06-30 00:00:00,2,0.0,0.9,0.1,50,50,55,0,41,0.76,4,1.0,440,40
977,mike,06302017_SOM42,SOM42,2017-06-30 00:00:00,2,0.0,0.1,0.9,50,50,511,8,400,0.86,2,1.0,40,40
978,mike,06302017_SOM44,SOM44,2017-06-30 00:00:00,2,0.0,0.1,0.9,50,50,219,3,166,0.82,2,1.0,40,40
979,mike,06302017_SOM45,SOM45,2017-06-30 00:00:00,2,0.0,0.1,0.9,50,50,329,4,234,0.74,2,1.0,40,40
980,mike,07032017_PV27,PV27,2017-07-03 00:00:00,0,0.0,1.0,1.0,50,50,2,0,1,0.0,15,1.0,50,50
981,mike,07032017_PV30,PV30,2017-07-03 00:00:00,2,0.0,0.1,0.9,50,50,434,6,325,0.78,2,1.0,40,40
982,mike,07032017_SOM41,SOM41,2017-07-03 00:00:00,2,0.0,0.1,0.9,50,50,258,3,169,0.68,3,1.0,40,40
983,mike,07032017_SOM42,SOM42,2017-07-03 00:00:00,2,0.0,0.9,0.1,50,50,497,8,422,0.93,2,1.0,40,40
984,mike,07032017_SOM44,SOM44,2017-07-03 00:00:00,2,0.0,0.9,0.1,50,50,238,3,178,0.79,2,1.0,40,40
985,mike,07032017_SOM45,SOM45,2017-07-03 00:00:00,2,0.0,0.1,0.9,50,50,283,3,194,0.76,2,1.0,40,40
986,mike,07042017_PV27,PV27,2017-07-04 00:00:00,0,0.0,1.0,1.0,1000,1000,2,0,1,0.0,15,1.0,50,50
987,mike,07042017_PV30,PV30,2017-07-04 00:00:00,2,0.0,0.9,0.1,50,50,522,8,400,0.85,4,1.0,40,40
988,mike,07042017_SOM41,SOM41,2017-07-04 00:00:00,2,0.0,0.1,0.9,50,50,289,4,236,0.88,3,1.0,40,40
989,mike,07042017_SOM42,SOM42,2017-07-04 00:00:00,2,0.0,0.1,0.9,50,50,503,8,411,0.89,2,1.0,40,40
990,mike,07042017_SOM44,SOM44,2017-07-04 00:00:00,2,0.0,0.9,0.1,50,50,282,4,216,0.84,2,1.0,40,40
991,mike,07042017_SOM45,SOM45,2017-07-04 00:00:00,2,0.0,0.1,0.9,50,50,229,2,135,0.59,2,1.0,40,40
992,mike,07052017_PV27,PV27,2017-07-05 00:00:00,1,0.0,1.0,1.0,50,50,1,0,1,0.0,15,1.0,40,40
